manager_name,transfermarkt_manager_id,club,role,appointed_date,in_charge_until,days_in_charge,matches,wins,draws,losses,players_used,avg_goals,ppm,games_ppg,assistant_manager_of,profile_url,scraped_at
Pep Guardiola,5672,Man City Manager,16/17 (01/07/2016),30/06/2027,01/07/2016,579,414,74,91,111,2.48 : 0.94,2.27,579 / 2.27,,,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,2026-03-13T14:51:33.632466+00:00
Pep Guardiola,5672,Bayern Munich Manager,13/14 (01/07/2013),30/06/2016,01/07/2013,161,124,16,21,44,2.57 : 0.80,2.41,161 / 2.41,,,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,2026-03-13T14:51:33.632466+00:00
Pep Guardiola,5672,Barcelona Manager,08/09 (01/07/2008),30/06/2012,01/07/2008,247,179,47,21,57,2.58 : 0.73,2.36,247 / 2.36,,,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,2026-03-13T14:51:33.632466+00:00
Pep Guardiola,5672,Barcelona B Manager,07/08 (01/07/2007),30/06/2008,01/07/2007,-,-,-,-,-,0.00 : 0.00,0.00,-,,,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,2026-03-13T14:51:33.632466+00:00
Mikel Arteta,47620,Arsenal Manager,19/20 (22/12/2019),30/06/2027,22/12/2019,336,208,58,70,85,2.01 : 1.02,2.03,336 / 2.03,,,https://www.transfermarkt.com/mikel-arteta/profil/trainer/47620,2026-03-13T14:51:39.005604+00:00
Mikel Arteta,47620,Man City Assistant Manager,16/17 (01/07/2016),20/12/2019,01/07/2016,-,-,-,-,-,0.00 : 0.00,0.00,-,,Pep Guardiola (201 Games),https://www.transfermarkt.com/mikel-arteta/profil/trainer/47620,2026-03-13T14:51:39.005604+00:00
Marco Silva,19631,Fulham Manager,21/22 (01/07/2021),30/06/2026,01/07/2021,220,101,39,80,70,1.79 : 1.48,1.55,220 / 1.55,,,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:47.344204+00:00
Marco Silva,19631,Everton Manager,18/19 (01/07/2018),05/12/2019,01/07/2018,60,24,11,25,31,1.48 : 1.42,1.38,60 / 1.38,,,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:47.344204+00:00
Marco Silva,19631,Watford Manager,17/18 (01/07/2017),21/01/2018,01/07/2017,26,8,5,13,28,1.46 : 1.81,1.12,26 / 1.12,,,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:47.344204+00:00
Marco Silva,19631,Hull City Manager,16/17 (05/01/2017),30/06/2017,05/01/2017,22,8,3,11,28,1.14 : 1.95,1.23,22 / 1.23,,,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:47.344204+00:00
Marco Silva,19631,Olympiacos Manager,15/16 (07/07/2015),23/06/2016,07/07/2015,48,38,3,7,36,2.48 : 0.81,2.44,48 / 2.44,,,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:47.344204+00:00
