manager_name,full_name,date_of_birth,age,place_of_birth,citizenship,contract_until,average_term_as_coach,coaching_licence,preferred_formation,agent,transfermarkt_manager_id,profile_url,scraped_at
Pep Guardiola,Josep Guardiola i Sala,18/01/1971,55,Santpedor,Spain,30/06/2027,4.43 Years,UEFA Pro Licence,4-1-4-1,support,5672,https://www.transfermarkt.com/pep-guardiola/profil/trainer/5672,2026-03-13T14:51:29.455317+00:00
Mikel Arteta,Mikel Arteta Amatriain,26/03/1982,43,Donostia-San Sebastián,Spain,30/06/2027,6.23 Years,UEFA Pro Licence,4-3-3 Attacking,support,47620,https://www.transfermarkt.com/mikel-arteta/profil/trainer/47620,2026-03-13T14:51:36.744612+00:00
Marco Silva,Marco Alexandre Saraiva Silva,12/07/1977,48,Lisboa,Portugal,30/06/2026,1.69 Years,UEFA Pro Licence,4-2-3-1,support,19631,https://www.transfermarkt.com/marco-silva/profil/trainer/19631,2026-03-13T14:51:45.154019+00:00
Eddie Howe,Edward John Frank Howe,29/11/1977,48,Amersham,England,,3.98 Years,,4-3-3 Attacking,support,10976,https://www.transfermarkt.com/eddie-howe/profil/trainer/10976,2026-03-13T14:51:50.245281+00:00
Unai Emery,Unai Emery Etxegoien,03/11/1971,54,Hondarribia,Spain,30/06/2029,2.27 Years,UEFA Pro Licence,4-2-3-1,support,5075,https://www.transfermarkt.com/unai-emery/profil/trainer/5075,2026-03-13T14:51:57.968239+00:00
Andoni Iraola,Andoni Iraola Sagarna,22/06/1982,43,Usurbil,Spain,30/06/2026,1.81 Years,,4-2-3-1,support,60677,https://www.transfermarkt.com/andoni-iraola/profil/trainer/60677,2026-03-13T14:52:04.359120+00:00
Daniel Farke,,30/10/1976,49,Büren-Steinhausen,Germany,30/06/2027,2.66 Years,UEFA Pro Licence,4-2-3-1,support,10939,https://www.transfermarkt.com/daniel-farke/profil/trainer/10939,2026-03-13T14:52:16.433951+00:00
Oliver Glasner,,28/08/1974,51,Salzburg,Austria,30/06/2026,1.89 Years,UEFA Pro Licence,3-4-2-1,support,22891,https://www.transfermarkt.com/oliver-glasner/profil/trainer/22891,2026-03-13T14:52:25.255003+00:00
Arne Slot,Arend Martijn Slot,17/09/1978,47,Bergentheim,Netherlands,30/06/2027,1.57 Years,UEFA Pro Licence,4-2-3-1,support,34822,https://www.transfermarkt.com/arne-slot/profil/trainer/34822,2026-03-13T14:52:34.685513+00:00
Fabian Hürzeler,,26/02/1993,33,"Houston, Texas",Germany Switzerland,30/06/2027,1.09 Years,UEFA Pro Licence,4-2-3-1,support,48076,https://www.transfermarkt.com/fabian-hurzeler/profil/trainer/48076,2026-03-13T14:52:40.866966+00:00
Régis Le Bris,,06/12/1975,50,Pont-l'Abbé,France,30/06/2028,3.42 Years,UEFA Pro Licence,4-2-3-1,support,40910,https://www.transfermarkt.com/regis-le-bris/profil/trainer/40910,2026-03-13T14:52:46.539072+00:00
Scott Parker,Scott Matthew Parker,13/10/1980,45,London,England,30/06/2027,1.27 Years,UEFA A Licence,4-2-3-1,support,54455,https://www.transfermarkt.com/scott-parker/profil/trainer/54455,2026-03-13T14:52:52.089123+00:00
David Moyes,David William Moyes,25/04/1963,62,Glasgow,Scotland,,3.04 Years,UEFA Pro Licence,4-2-3-1,support,450,https://www.transfermarkt.com/david-moyes/profil/trainer/450,2026-03-13T14:52:57.800644+00:00
Keith Andrews,Keith Joseph Andrews,13/09/1980,45,Dublin,Ireland England,30/06/2032,0.70 Years,UEFA Pro Licence,4-2-3-1,support,68347,https://www.transfermarkt.com/keith-andrews/profil/trainer/68347,2026-03-13T14:53:07.961883+00:00
Nuno Espírito Santo,Nuno Herlander Simões Espírito Santo,25/01/1974,52,São Tomé,Portugal Sao Tome and Principe,30/06/2028,1.53 Years,UEFA Pro Licence,4-2-3-1,support,16520,https://www.transfermarkt.com/nuno-espirito-santo/profil/trainer/16520,2026-03-13T14:53:13.492451+00:00
Rob Edwards,Robert Owen Edwards,25/12/1982,43,Madeley,Wales,30/06/2029,0.78 Years,UEFA Pro Licence,3-4-2-1,support,49800,https://www.transfermarkt.com/rob-edwards/profil/trainer/49800,2026-03-13T14:53:20.256652+00:00
Liam Rosenior,Liam James Rosenior,09/07/1984,41,London,England Sierra Leone,30/06/2032,0.88 Years,UEFA Pro Licence,3-4-2-1,support,62134,https://www.transfermarkt.com/liam-rosenior/profil/trainer/62134,2026-03-13T14:53:26.264771+00:00
Michael Carrick,,28/07/1981,44,Wallsend,England,30/06/2026,0.94 Years,UEFA A Licence,4-2-3-1,support,65647,https://www.transfermarkt.com/michael-carrick/profil/trainer/65647,2026-03-13T14:53:37.228485+00:00
Igor Tudor,,16/04/1978,47,Split,Croatia,30/06/2026,0.69 Years,UEFA Pro Licence,3-4-2-1,support,28632,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:53:43.058612+00:00
Vítor Pereira,Vítor Manuel de Oliveira Lopes Pereira,26/07/1968,57,Espinho,Portugal,30/06/2027,1.06 Years,UEFA Pro Licence,3-4-2-1,support,7571,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:11.054351+00:00
